Date,Unemployment Rate
2016-01-01 00:00:00,11.5
2016-02-01 00:00:00,11.0
2016-03-01 00:00:00,10.1
2016-04-01 00:00:00,9.1
2016-05-01 00:00:00,9.0
2016-06-01 00:00:00,10.1
2016-07-01 00:00:00,11.0
2016-08-01 00:00:00,11.0
2016-09-01 00:00:00,11.8
2016-10-01 00:00:00,11.9
2016-11-01 00:00:00,11.6
2016-12-01 00:00:00,12.8
2017-01-01 00:00:00,13.5
2017-02-01 00:00:00,12.9
2017-03-01 00:00:00,11.7
2017-04-01 00:00:00,10.5
2017-05-01 00:00:00,9.7
2017-06-01 00:00:00,10.4
2017-07-01 00:00:00,10.6
2017-08-01 00:00:00,10.6
2017-09-01 00:00:00,10.4
2017-10-01 00:00:00,10.5
2017-11-01 00:00:00,10.0
2017-12-01 00:00:00,10.3
2018-01-01 00:00:00,11.0
2018-02-01 00:00:00,10.8
2018-03-01 00:00:00,9.8
2018-04-01 00:00:00,9.3
2018-05-01 00:00:00,9.4
2018-06-01 00:00:00,10.2
2018-07-01 00:00:00,10.7
2018-08-01 00:00:00,11.1
2018-09-01 00:00:00,11.4
2018-10-01 00:00:00,11.7
2018-11-01 00:00:00,12.0
2018-12-01 00:00:00,13.3
2019-01-01 00:00:00,15.1
2019-02-01 00:00:00,15.0
2019-03-01 00:00:00,13.9
2019-04-01 00:00:00,12.9
2019-05-01 00:00:00,12.5
2019-06-01 00:00:00,13.4
2019-07-01 00:00:00,14.1
2019-08-01 00:00:00,14.2
2019-09-01 00:00:00,14.0
2019-10-01 00:00:00,13.3
2019-11-01 00:00:00,12.9
2019-12-01 00:00:00,13.6
2020-01-01 00:00:00,14.1
2020-02-01 00:00:00,13.5
2020-03-01 00:00:00,13.0
2020-04-01 00:00:00,12.8
2020-05-01 00:00:00,12.6
2020-06-01 00:00:00,13.0
2020-07-01 00:00:00,14.6
2020-08-01 00:00:00,13.0
2020-09-01 00:00:00,12.4
2020-10-01 00:00:00,12.8
2020-11-01 00:00:00,12.9
2020-12-01 00:00:00,13.0
2021-01-01 00:00:00,13.4
2021-02-01 00:00:00,14.1
2021-03-01 00:00:00,13.1
2021-04-01 00:00:00,12.9
2021-05-01 00:00:00,12.4
2021-06-01 00:00:00,10.4
2021-07-01 00:00:00,12.1
2021-08-01 00:00:00,12.0
2021-09-01 00:00:00,11.1
2021-10-01 00:00:00,10.7
2021-11-01 00:00:00,10.9
2021-12-01 00:00:00,11.3
2022-01-01 00:00:00,12.1
2022-02-01 00:00:00,11.4
2022-03-01 00:00:00,11.4
2022-04-01 00:00:00,10.6
2022-05-01 00:00:00,10.1
2022-06-01 00:00:00,9.7
2022-07-01 00:00:00,10.6
2022-08-01 00:00:00,9.8
2022-09-01 00:00:00,9.9
2022-10-01 00:00:00,9.9
2022-11-01 00:00:00,9.9
2022-12-01 00:00:00,10.4
2023-01-01 00:00:00,10.3
2023-02-01 00:00:00,10.7
2023-03-01 00:00:00,10.2
2023-04-01 00:00:00,10.0
2023-05-01 00:00:00,8.8
2023-06-01 00:00:00,9.0
2023-07-01 00:00:00,9.7
2023-08-01 00:00:00,9.2
2023-09-01 00:00:00,8.9
2023-10-01 00:00:00,8.2
2023-11-01 00:00:00,8.8
2023-12-01 00:00:00,8.9
2024-01-01 00:00:00,9.8
