Kategori: Tüm kategoriler

Ay,gayrimenkul: (Türkiye)
2016-01,35
2016-02,42
2016-03,45
2016-04,41
2016-05,42
2016-06,37
2016-07,33
2016-08,40
2016-09,36
2016-10,42
2016-11,45
2016-12,39
2017-01,40
2017-02,52
2017-03,64
2017-04,49
2017-05,47
2017-06,41
2017-07,51
2017-08,48
2017-09,48
2017-10,50
2017-11,48
2017-12,46
2018-01,49
2018-02,53
2018-03,50
2018-04,51
2018-05,46
2018-06,43
2018-07,51
2018-08,38
2018-09,46
2018-10,48
2018-11,38
2018-12,36
2019-01,37
2019-02,42
2019-03,52
2019-04,40
2019-05,37
2019-06,41
2019-07,44
2019-08,53
2019-09,54
2019-10,53
2019-11,57
2019-12,54
2020-01,55
2020-02,57
2020-03,47
2020-04,32
2020-05,44
2020-06,100
2020-07,79
2020-08,66
2020-09,61
2020-10,60
2020-11,53
2020-12,48
2021-01,56
2021-02,57
2021-03,60
2021-04,53
2021-05,48
2021-06,64
2021-07,52
2021-08,61
2021-09,63
2021-10,58
2021-11,63
2021-12,59
2022-01,51
2022-02,58
2022-03,60
2022-04,60
2022-05,64
2022-06,64
2022-07,49
2022-08,52
2022-09,54
2022-10,51
2022-11,52
2022-12,55
2023-01,61
2023-02,50
2023-03,55
2023-04,46
2023-05,47
2023-06,55
2023-07,64
2023-08,64
2023-09,64
2023-10,59
2023-11,50
2023-12,56
2024-01,50
