Kategori: Tüm kategoriler

Ay,Borsa: (Türkiye)
2016-01,24
2016-02,27
2016-03,31
2016-04,29
2016-05,31
2016-06,26
2016-07,26
2016-08,27
2016-09,25
2016-10,28
2016-11,28
2016-12,25
2017-01,29
2017-02,28
2017-03,28
2017-04,28
2017-05,29
2017-06,27
2017-07,31
2017-08,35
2017-09,33
2017-10,37
2017-11,43
2017-12,38
2018-01,39
2018-02,36
2018-03,34
2018-04,38
2018-05,43
2018-06,38
2018-07,47
2018-08,71
2018-09,38
2018-10,36
2018-11,34
2018-12,34
2019-01,36
2019-02,33
2019-03,40
2019-04,37
2019-05,36
2019-06,32
2019-07,36
2019-08,35
2019-09,40
2019-10,43
2019-11,39
2019-12,43
2020-01,53
2020-02,59
2020-03,69
2020-04,64
2020-05,56
2020-06,66
2020-07,69
2020-08,82
2020-09,72
2020-10,75
2020-11,72
2020-12,68
2021-01,64
2021-02,87
2021-03,85
2021-04,76
2021-05,58
2021-06,49
2021-07,39
2021-08,42
2021-09,46
2021-10,54
2021-11,73
2021-12,84
2022-01,49
2022-02,50
2022-03,49
2022-04,42
2022-05,47
2022-06,50
2022-07,48
2022-08,55
2022-09,64
2022-10,58
2022-11,85
2022-12,75
2023-01,71
2023-02,63
2023-03,55
2023-04,50
2023-05,61
2023-06,69
2023-07,76
2023-08,99
2023-09,100
2023-10,90
2023-11,65
2023-12,60
2024-01,49
